code,file,drawn_size_mm,legend,check,intervene,notes
G11-1,Tourist Signs/CAMERA_300_m_ON_LEFT_BROWN_TALL_G11-1.svg,800x1350,300 m ON LEFT,ok,,"symbol:camera 20 brown edge + 20 white border (20 | 40 callouts). Stack 140|350 symbol|100|140D|100|140D|100|140D|140. Camera box 350 centred (=|350|=). Numeral line centred as a group (=|Varies|70|Varies|=): 300 (140 D, vary), m 120 Emod baseline-aligned (top 610); x from font widths - not stated. ON =|226|=, LEFT =|401|=. QA: pictogram box set to the ink extent measured on the drawing inside its nominal square (the generator fits the traced ink to the box). Nominal 350 square at (225,140). QA: the 300 m line is built as one runs group (gap [70.0]) so the generator centres it as the drawing's = margins require."
G11-10,Tourist Signs/CAMERA_ARROW_LEFT_BROWN_TALL_G11-10.svg,500x750,,ok,,"symbol:camera Drawing titled G11-10(L) (file G11-10.png); no (R) drawing. 20 brown edge + 20 white border (40 total, 20). Corner radius NOT stated. Camera box 350 centred (=|350|=) at 70; arrow 110|280|110 at 485 (70|350|65|175|90). QA: camera box = ink extent placed as on G11-1 within the nominal 350 square at (75,70)."
G11-11,Tourist Signs/WINERIES_OAKVALE_CHALMERS_SUNRISE_GRAPES_BROWN_LONG_G11-11.svg,1600x1200,WINERIES OAKVALE 2 CHALMERS 3 SUNRISE 5,ok,,"symbol:grapes 20 brown edge + 20 white border (40 | 20). Grapes box 350 at 150|350|137|813|150, 110 from the top. Stack 110|350|70|140D|70|140D|70|140D|110; WINERIES 215|140D from the top at x 637. Destinations 140 D left-aligned at 140 (140|Varies|Varies|Var|185); numerals right-aligned 185 from the right edge (widths vary). QA: grapes box = ink extent placed as on G11-8, scaled to the nominal 350 square at (150,110)."
G11-2,Tourist Signs/MUSEUM_50_m_ON_RIGHT_BROWN_LONG_G11-2.svg,1120x900,MUSEUM 50 m ON RIGHT,ok,," 20 brown edge + 20 white border (40 | 20). Stack 140|140D|100|140|100|140D|140. MUSEUM 195|730|195. Numeral line '= | Varies | 70 | 131 | =': numeral 140 D varies, m 120 Emod on the same baseline; centred as a group. ON RIGHT 143|226|105|503|143 centred as a group."
G11-2,Tourist Signs/MUSEUM_100_m_ON_RIGHT_BROWN_LONG_G11-2.svg,1120x900,MUSEUM 100 m ON RIGHT,ok,," 20 brown edge + 20 white border (40 | 20). Stack 140|140D|100|140|100|140D|140. MUSEUM 195|730|195. Numeral line '= | Varies | 70 | 131 | =': numeral 140 D varies, m 120 Emod on the same baseline; centred as a group. ON RIGHT 143|226|105|503|143 centred as a group."
G11-2,Tourist Signs/MUSEUM_150_m_ON_RIGHT_BROWN_LONG_G11-2.svg,1120x900,MUSEUM 150 m ON RIGHT,ok,," 20 brown edge + 20 white border (40 | 20). Stack 140|140D|100|140|100|140D|140. MUSEUM 195|730|195. Numeral line '= | Varies | 70 | 131 | =': numeral 140 D varies, m 120 Emod on the same baseline; centred as a group. ON RIGHT 143|226|105|503|143 centred as a group."
G11-2,Tourist Signs/MUSEUM_200_m_ON_RIGHT_BROWN_LONG_G11-2.svg,1120x900,MUSEUM 200 m ON RIGHT,ok,," 20 brown edge + 20 white border (40 | 20). Stack 140|140D|100|140|100|140D|140. MUSEUM 195|730|195. Numeral line '= | Varies | 70 | 131 | =': numeral 140 D varies, m 120 Emod on the same baseline; centred as a group. ON RIGHT 143|226|105|503|143 centred as a group."
G11-2,Tourist Signs/MUSEUM_250_m_ON_RIGHT_BROWN_LONG_G11-2.svg,1120x900,MUSEUM 250 m ON RIGHT,ok,," 20 brown edge + 20 white border (40 | 20). Stack 140|140D|100|140|100|140D|140. MUSEUM 195|730|195. Numeral line '= | Varies | 70 | 131 | =': numeral 140 D varies, m 120 Emod on the same baseline; centred as a group. ON RIGHT 143|226|105|503|143 centred as a group."
G11-2,Tourist Signs/MUSEUM_300_m_ON_RIGHT_BROWN_LONG_G11-2.svg,1120x900,MUSEUM 300 m ON RIGHT,ok,," 20 brown edge + 20 white border (40 | 20). Stack 140|140D|100|140|100|140D|140. MUSEUM 195|730|195. Numeral line '= | Varies | 70 | 131 | =': numeral 140 D varies, m 120 Emod on the same baseline; centred as a group. ON RIGHT 143|226|105|503|143 centred as a group."
G11-2,Tourist Signs/MUSEUM_400_m_ON_RIGHT_BROWN_LONG_G11-2.svg,1120x900,MUSEUM 400 m ON RIGHT,ok,," 20 brown edge + 20 white border (40 | 20). Stack 140|140D|100|140|100|140D|140. MUSEUM 195|730|195. Numeral line '= | Varies | 70 | 131 | =': numeral 140 D varies, m 120 Emod on the same baseline; centred as a group. ON RIGHT 143|226|105|503|143 centred as a group."
G11-2,Tourist Signs/MUSEUM_500_m_ON_RIGHT_BROWN_LONG_G11-2.svg,1120x900,MUSEUM 500 m ON RIGHT,ok,," 20 brown edge + 20 white border (40 | 20). Stack 140|140D|100|140|100|140D|140. MUSEUM 195|730|195. Numeral line '= | Varies | 70 | 131 | =': numeral 140 D varies, m 120 Emod on the same baseline; centred as a group. ON RIGHT 143|226|105|503|143 centred as a group."
G11-3(L),Tourist Signs/HISTORICAL_MARKER_ARROW_LEFT_BROWN_WIDE_SKINNY_G11-3(L).svg,2300x400,HISTORICAL MARKER,ok,, G11-3A(L) illustrated 2300 x 400 (B 3000x500 ignored). 10 brown edge + 10 white border (20 | 10). 199|203 arrow|100|884|100|615|199; arrow 99|203|98; text 140|120D|140. Same arrow as G9-51.
G11-3(R),Tourist Signs/HISTORICAL_MARKER_ARROW_RIGHT_BROWN_WIDE_SKINNY_G11-3(R).svg,2300x400,HISTORICAL MARKER,ok,, G11-3A(R) illustrated 2300 x 400 (B 3000x500 ignored). 10 brown edge + 10 white border. 199|884|100|615|100|203 arrow|199; arrow 99|203|98 (mirrored g9-51 arrow).
G11-4(L),Tourist Signs/SILVERBAND_FALLS_2_CHEVRON_BROWN_POINTED_G11-4(L).svg,1840x550,2 SILVERBAND FALLS,ok,," Pointed sign drawn as polygons on a white panel: R75 tip, R70 corners, 10 brown edge + 10 white border (20 | 10), tip inset 142, point at mid-height (75|200|200|75). Chevron 400 tall (200|200) centred vertically (y 75); its point at 213 from the tip and its right edge at 142+342 = 484 (width 271); arm perpendicular thickness 151 from the detail; the horizontal arm extent (about 102) is derived from 271 and 151 (h + 151*sqrt(h^2+200^2)/200 = 271) - not a stated dimension. Chain 213|290|82|134|942|179: numeral 2 (120 D, 82) at 503, 215|120D|215; SILVERBAND 117|120D|75|120D|118 at 719; FALLS 460 at 985 (460|395 from the right)."
G11-4(R),Tourist Signs/SILVERBAND_FALLS_2_CHEVRON_BROWN_POINTED_G11-4(R).svg,1840x550,2 SILVERBAND FALLS,ok,," Pointed sign drawn as polygons on a white panel: R75 tip, R70 corners, 10 brown edge + 10 white border (20 | 10), tip inset 142, point at mid-height (75|200|200|75). Chevron 400 tall (200|200) centred vertically (y 75); its point at 213 from the tip and its right edge at 142+342 = 484 (width 271); arm perpendicular thickness 151 from the detail; the horizontal arm extent (about 102) is derived from 271 and 151 (h + 151*sqrt(h^2+200^2)/200 = 271) - not a stated dimension. Chain 213|290|82|134|942|179: numeral 2 (120 D, 82) at 503, 215|120D|215; SILVERBAND 117|120D|75|120D|118 at 719; FALLS 460 at 985 (460|395 from the right)."
G11-5,Tourist Signs/SILVERBAND_FALLS_2_CHEVRON_BROWN_POINTED_NO_BORDER_G11-5.svg,2000x500,2 SILVERBAND FALLS,ok,," Pointed sign without border drawn as a brown polygon on a white panel: R75 tip, square corners (no corner radius stated), tip inset 126, point at mid-height. Chevron 364 tall (182|182, y 68) from x 126 (126|302|100|Var.): overall 302 from the sign chain with the detail arm extent 188 (horizontal offset then 114); INCONSISTENT with the detail, which gives 188 | 160 (= 348 overall) and a perpendicular arm thickness of 126. Numeral 2 (140 D) at 528 (126+302+100), 180|140D|180. SILVERBAND 140 D right-aligned 70 from the right edge (Varies | 70), top 75; FALLS centred under it (=|Varies|=|70), top 285; 75|140D|70|140D|75 (the 180|140D|180 chain also applies to the numeral)."
G11-7,Tourist Signs/HISTORICAL_MARKER_BURKES_TREE_TURN_LEFT_300_m_BROWN_LONG_G11-7.svg,2300x1100,HISTORICAL MARKER BURKES TREE TURN LEFT 300 m,ok,," 20 brown edge + 20 white border (40 | 20). Stack 135|140D|90|140D|90|140D|90|140|135 (the 90 above the numeral line is not labelled but required by the total). HISTORICAL MARKER 206|1031|140|717|206; BURKES TREE 527|(686)|(135)|(425)|527; TURN LEFT 653|452|140|402|653. Numeral line centred as a group (=|Varies|70|131|=): 300 140 D (vary), m 120 Emod baseline-aligned (top 845); x from the font width - not stated. QA: the 300 m line is built as one runs group (gap [70.0]) so the generator centres it as the drawing's = margins require."
G11-8,Tourist Signs/SUNRISE_TURN_RIGHT_300_m_GRAPES_BROWN_LONG_G11-8.svg,1350x900,SUNRISE TURN RIGHT 300 m,ok,,"symbol:grapes 20 brown edge + 20 white border (40 | 20). Grapes symbol box 410 square at x 60 (60|410|8|692|180), 30 from the top edge (as dimensioned - the box overlaps the border band; the artwork is smaller than its box). Stack 190|130D|160|130D|70|130|90. SUNRISE 130 D at 478; TURN RIGHT 161|420|142|466|161. Numeral line centred as a group (=|318|70|118|=): 300 130 D (stated 318, font 325), m 108 Emod baseline-aligned (top 702). QA: pictogram box set to the ink extent measured on the drawing inside its nominal square (the generator fits the traced ink to the box). Nominal 410 square at (60,30) (its dashed frame otherwise traces as a bar). QA: the 300 m line is built as one runs group (gap [70.0]) so the generator centres it as the drawing's = margins require."
G11-9,Tourist Signs/WHITSUNDAY_SERVICES_BROWN_BLUE_TALL_G11-9.svg,2450x3000,TURN RIGHT 500 m FOR WHITSUNDAY GATEWAY TO BARRIER REEF ISLANDS 26 km FISHING COASTAL SCENERY ISLAND RESORTS,ok,,"symbol:boat_ramp symbol:camping_tent_caravan symbol:fuel_pump 20 edge (brown above / blue below) + 20 white border (40 | 20); three panels R60 separated by 20 white lines at y 1540-1560 and 2300-2320 (brown, brown, blue), drawn as sub-panels on a white ground with the blue outer strip below 2320 as a path. Stack: 140|140E|100|140E|100|160E|140|100E|80|100E|80|160|100|20|80|140E|80|140E|80|140E|80|20|75|500|105 = 3000. No horizontal text dimensions are given: every line centred; the mixed lines (TURN RIGHT 500 m: 140 E + 120 Emod; 26 km: 160 E + 135 Emod) use the font word space between the numerals and the unit, and the unit is baseline-aligned - not stated. Symbols 255|500|220|400|220|600|255 at y 2395. QA: pictogram box set to the ink extent measured on the drawing inside its nominal square (the generator fits the traced ink to the box). Nominal squares 255|500|220|400|220|600|255 at y 2395 kept in the symbol descs. QA: the TURN RIGHT 500 m line is built as one runs group (gap [151.2]) so the generator centres it as the drawing's = margins require. QA: the 26 km line is built as one runs group (gap [172.8]) so the generator centres it as the drawing's = margins require."
G2-1,Guide Signs/SALTASH_HWY_A75_HAWKER_GREEN_FINGERBOARD_G2-1.svg,2485x780,SALTASH HWY / A75 Hawker,ok,," Fingerboard with a pointed left end; the drawing gives 'Total width' and 'Varies' for the legend widths, so the width is built from AS 1744 ink widths: 305+405+85+A75(463)+160+Hawker(908)+160 = 2485 (rounded). Height 780. Outline: point at (0,390), sloped edges reach the top/bottom 305 from the tip, R100 at the two right-hand corners (no radius stated for the tip or the obtuse corners; drawn sharp). Green edge 20 + white border 20 built as inward-offset polygons (ground white underneath). Chevron: white band 60 from the top and bottom (660 high), flat right end at x 710 (305+405), sloped edges parallel to the sign point; its top edge is taken as 305 long (405 to 710) which puts the tip at x 147 and the notch at 452 - the 405 position is only confirmed by measuring the drawing (the chevron's tip is not dimensioned). Road-name panel 240 high at y 100, 60 margins around 120 D text (width 1136+120 = 1256), centred between the '=' marks i.e. on the A75 Hawker line (x 795 to 2325). A75 and Hawker baseline 620 (top 460), 160 bottom margin. The diagonal '236' dimension near the top-left corner could not be tied to any feature and is not used."
G2-2(a),Guide Signs/DELORAINE_GREEN_WIDE_SKINNY_G2-2(a).svg,1897x470,Deloraine,ok,," 1897x470 R100, green edge 20 + white border 20. Deloraine 160 Emod, 155 top/bottom margins, x 200-1384. Diagonal (up-right) arrow: the drawing boxes it at 203 wide (x 1514-1717) x 203 high (y 134-337); this is the bounding box of the detail's 250x220 arrow rotated 45 deg (tip at the top-right corner, barb tips at the top-left and bottom-right, i.e. (250+220)/2/sqrt2 + tail = about 201-203), so the drawing is self-consistent. The arrow is a geometric arrow element (G1-1 detail dimensions, heading -45) centred in the drawing's 203x203 box at x 1514, y 134 (computed outline 204.8 square)."
G2-2(b),Guide Signs/SMITH_RD_GREEN_WIDE_SKINNY_G2-2(b).svg,1850x500,SMITH RD,ok,," 1850x500 R100, green edge 20 + white border 20. Road-name panel 240 high (130 top/bottom) with SMITH RD 160 D. INCONSISTENCIES: the panel detail says 1200 wide but also 80|932|80 (=1092) and 80|160 D|80 vertically (=320, not 240); the sign chain 162+207+160+1120+161 = 1810, not 1850. Used: panel 1200 wide (stated twice) at x 529 (162+207+160), text vertically centred (40 margins), text width from AS 1744 (1025, i.e. ~88 side margins). Diagonal (up-left) arrow boxed 207x207 in the drawing (x 162-369, y 147-354): this is the bounding box of the G1-2 251x220 arrow rotated 45 deg (about 204-208), so the drawing is self-consistent. The arrow is a geometric arrow element (G1-2 detail dimensions, heading -135) centred in the drawing's 207x207 box at x 162, y 147 (computed outline 208.1 square)."
G2-4,Guide Signs/SALTASH_HIGHWAY_HAWKER_A79_PLUMPTON_GREEN_DOUBLE_FINGERBOARD_G2-4.svg,4400x750,SALTASH HIGHWAY / Hawker A79 Plumpton,ok,," Drawing rotated 90 deg on the page; transcribed in true orientation 4400 wide x 750 high, pointed at both ends (points at mid-height 375, slopes reaching the top/bottom 285 from each tip), R100 at the obtuse corners, tips 'break sharp point with a 20 mm radius'. Green edge 20 + white border 20 as offset polygons on a white ground. Chevrons from the 220-grid detail: 570 high (90 to 660), flat end 300 long, outer point 226 beyond it (526 overall), band 235 thick perpendicular; flat ends at x 690 (285+405) and 3710. Road-name panel 1610x240 R40 at x 1392 (1398 from the right end), y 100, SALTASH HIGHWAY 120 D (60|1490|60). Hawker, A79, Plumpton on baseline 585 (top 425), 165 below. INCONSISTENCY: the long chain 285+405+66+1168+160+454+160+903+85+405+285 = 4376, 24 short of 4400; Plumpton in 160 Emod is 1192 by AS 1744 (and G1-3 gives 1190), so 1168 is taken as 1192 and the 66 gap kept (alternatively 66 -> 90). Chevron detail dims: 570, 300, 226, 285|285, 235."
G2-5,Guide Signs/GRANGE_ROAD_COCKFOSTERS_A17_GREEN_G2-5.svg,1700x1110,GRANGE ROAD / Cockfosters / A17,ok,," 1700x1110 R100, green edge 20 + white border 20. Panel 1257x240 R40 at x 222, y 130 (GRANGE ROAD 120 D, 60|1137|60). Cockfosters baseline 650 (280 below the panel), x 122-1578. A17 baseline 950 (300 lower), x 406-799; right arrow 335 (detail 334) at x 959-1294 centred on y 870 (240 above the bottom), 220 high."
G3-3,Guide Signs/18_NARRABRI_A39_GREEN_FINGERBOARD_G3-3.svg,2215x300,18 Narrabri A39,width 18: 183.5 vs drawing 189,," 2215x300 fingerboard, no border, pointed left end (tip at mid-height, slope run 105), square right corners. Chain 105|165|110|189|100|902|120|404|120: the 165 runs from the sign corner to the chevron's flat end at x 270. Chevron from the (110.8) grid detail: 240 high (30 to 270), V run 94, band 92 thick perpendicular = 117 horizontal, so overall 211 wide with its tip at x 59 (this matches the drawing's chevron, which sits well inside the sign point). Text 140 high vertically centred (top 80; no top margin is stated). '18' in 140 E computes to 183.5 vs the drawing's 189 (2.9%)."
G3-4,Guide Signs/POLICE_ROAD_WHITE_G3-4.svg,710x380,POLICE ROAD,ok,," Second variant on drawing G3-4: two-line road-name sign 380 high (40|120 D|60|120 D|40), R40, width 'Varies' = 90 + longest line + 90 = 710 (POLICE 529.5). Lines centred."
G3-4,Guide Signs/NEWELL_HIGHWAY_WHITE_G3-4.svg,1590x200,NEWELL HIGHWAY,ok,," Road-name sign, single line: 200 high (40|120 D|40), width 'Varies' = 90 + ink + 90 = 1590 with AS 1744 spacing (1409.5). No corner radius stated on this variant (R40 on the two-line variant in the same drawing, used). Black letters on white; keyline added only to show the white panel outline. The same drawing also shows a two-line variant (POLICE / ROAD) - see the second G3-4 spec file."
G3-5,intervene/Guide Signs/SUNNYSIDE_RD_WHITE_FINGERBOARD_G3-5.svg,1566x200,SUNNYSIDE RD,ok,white fingerboard on a white ground: drawn with a 2 mm black outline so it is visible; the drawing shows an outline but states no width - confirm the outline (or none)," White road-name fingerboard with pointed right end, 200 high (40|120 D|40), R25 at the left corners (no radius stated for the point). Width 'Varies' = 100 + ink 1192.4 + 80 + 118 + 76 = 1566. Chain 100|text|80|118|76: 80 gap to the chevron's flat end, 118 from there to the sign corner, 76 point run. Chevron from the 50-grid detail: 160 high (80+80), V run 61, band 60 thick perpendicular (= 75.5 horizontal), overall 136.5, so its tip is at 1509 (57 before the sign tip, as on G3-3). GENERATOR GAP: a white polygon sign on the white ground has no outline; the keyline option only follows the rect shape, so the pointed outline is invisible in the SVG."
G3-6,Guide Signs/C383_BORALMA_15_GREEN_FINGERBOARD_G3-6.svg,1609x200,C383 BORALMA 15,ok,," Green fingerboard with pointed right end, 200 high, 100 D legend vertically centred (top 50; route number C383 yellow). Width 'Varies' = 100 + C383 332.3 + 100 + BORALMA 607.4 + 80 + 15 115.1 + 80 + 140 + 54 = 1609; chain ...|80|140|54 read as gap to the chevron's flat end, flat end to the sign corner, point run. Chevron detail (50 grid) gives only 160 high and 60 thick (perpendicular); the V run is NOT stated - taken as 61 like G3-5 (overall 136.5). The caption mentions a white border but none is drawn or dimensioned, so none is included. No corner radii stated."
G3-7,Guide Signs/C383_GREEN_ROUTE_PLATE_G3-7.svg,412x150,C383,ok,," Route-number plate: 150 high (25|100 D|25), R40, width 'Varies' = 40 + ink 332.3 + 40 = 412. Fluorescent yellow letters on green, no border."
G3-8-1,Guide Signs/SMITH_ST_LEFT_ARROW_WHITE_G3-8-1.svg,1148x200,SMITH ST,ok,," Street-name blade 200 high (40|120 D|40), R25, black on white, keyline only to show the outline. Width 'Varies' = 75 + 156 (arrow) + 75 + ink 742 + 100 = 1148. Arrow vertical position not stated; centred (137 high, y 31.5-168.5)."
